label-coarse,label-fine,text
3,6,What title does comedian Henry Youngman claim ?
4,40,How high is the city of Denver ?
4,8,When was Florida admitted into the Union ?
5,14,Where can I read about Abraham Lincoln ?
1,1,What is the movie Jonathan Livingstone Seagull ?
3,4,Who is the prime minister in Norway ?
3,4,Who won the rugby world cup in ?
4,13,How many pins are used in skittles ?
0,12,What is the history of the hairdryer ?
4,13,How many types of lemurs are there ?
0,0,How do you make a million bucks ?
5,21,What is the largest city in Connecticut ?
4,8,When did the American Civil War end ?
5,18,What country is the largest diamond producer ?
4,8,When did the supercontinent Pangaea break up ?
1,2,What kind of mammal is a colt ?
0,9,Colin Powell is most famous for what ?
0,7,What is a `` False Moon '' ?
4,27,How long was the longest sneezing attack ?
1,23,What are the 10 plagues of Egypt ?
0,7,What is a `` repeating voter '' ?
5,14,What ocean did the Titanic sink in ?
4,8,In what year was the Wall built ?
0,9,Why do pharmacists work on raised floors ?
1,28,What kind of substance is dextropropoxyphen napsylate ?
1,1,What was Mae West 's last film ?
1,36,What English word contains the most letters ?
0,0,How does James Bond like his martinis ?
4,13,How many sides does an obelisk have ?
4,8,In what year was the cannon invented ?
4,13,How many languages does the Pope speak ?
1,19,What color were Ernest Hemingway 's eyes ?
3,4,Who was the first woman in space ?
3,4,Who does the voices of the Simpsons ?
4,14,What is the chemical reactivity of neon ?
5,14,Where did the real St. Nicholas live ?
4,13,How many eyes does a bat have ?
1,20,How do you say 2 in Latin ?
5,14,Where did Dikembe Mutombo go to college ?
5,14,What is Mark McGwire 's e-mail address ?
4,8,What geological time do we live in ?
5,14,Where is Microsoft 's corporate headquarters located ?
4,8,When was China 's first nuclear test ?
0,0,How do I find a snowboarding website ?
1,14,What class is categorized as the bourgeoisie ?
0,7,What is the `` fourth dimension '' ?
5,14,What is the Homelite Inc. home page ?
3,5,What are the four railways in Monopoly ?
1,23,What is a fear of black people ?
5,14,What is the greatest hiking Web site ?
0,0,How is ` qigong ' properly pronounced ?
5,21,What is the largest city in Texas ?
4,13,How many teaspoons make up a tablespoon ?
3,4,Who was the lawyer for Randy Craft ?
1,22,What organ contains the islands of Langerhans ?
3,4,Who gave King Arthur the round table ?
0,0,How do you make a computer chip ?
3,4,Who wrote `` The Scarlet Letter '' ?
3,4,What was Darth Vader 's son named ?
4,13,How many Beanie Baby sites are there ?
3,4,Who makes the `` cross-your-heart bra '' ?
5,11,What U.S. state boasts Leif Ericson Park ?
5,18,What two countries is Andorra nestled between ?
5,14,What is the Homelite Inc. home page ?
0,0,How does color affect a person psychologically ?
4,39,What is Columbia Tristar 's phone number ?
1,28,What alloy do copper and tin form ?
1,30,What plants are found in an estuary ?
0,12,What are the side effects of mevacor ?
4,8,When did the last Americans leave Vietnam ?
5,14,What is the habitat of the chickadee ?
1,14,Which of the five senses develops first ?
1,2,Who was the first animal into space ?
0,9,Why is Rush 's 2112 called 2112 ?
0,12,What 's the state motto of California ?
5,18,What country does Ileana Cotrubas come from ?
0,7,What 's a male `` cuckquean '' ?
0,9,Why are ice cream sundaes called sundaes ?
1,1,What was the first video ever made ?
1,17,What 's the favorite food of dragonflies ?
3,4,What king boycotted Prince Charles 's wedding ?
5,14,What famed wall supports the Badaling turret ?
1,2,Who were John F. Kennedy 's dogs ?
4,40,How tall was the animated King Kong ?
4,13,How many events make up the decathlon ?
1,14,What does a chef coddle eggs in ?
4,25,What was the minimum wage in 1991 ?
3,4,Who bestowed great power upon Captain Britain ?
1,2,What is the West Virginia state animal ?
4,8,What year did Montana become a state ?
5,21,What Japanese city was once called Edo ?
3,4,Who did the Seven Mules block for ?
5,14,Where is one 's corpus callosum found ?
3,4,Name of heroine in `` Scruples '' ?
0,9,What is the cause of endangered species ?
3,4,What were Babe Ruth 's Christian names ?
3,4,What is Alice Cooper 's real name ?
1,1,What was Jimmy Durante 's theme song ?
4,13,How many muscles does an oyster have ?
1,36,What is the collective noun for geese ?
1,14,What 's the highest-ranking suit in bridge ?
1,29,What non-mechanical sport achieves the highest speeds ?
0,9,What caused the death of Bob Marley ?
4,14,What is the chemical reactivity of neon ?
0,9,Why do airliners crash vs. gliding down ?
3,4,What attorney-general ordered the closing of Alcatraz ?
5,18,What countries earn the most from tourism ?
1,44,What ship did Lloyd M. Bucher command ?
1,14,What do humans catch zoonose diseases from ?
3,4,Who 's the only president buried in Washington
4,25,How much do tuberculosis combatting drugs cost ?
3,4,President Bush compared Saddam Hussein to whom ?
2,34,What is Mikhail Gorbachev 's middle initial ?
1,42,What is the chemical formula for napalm ?
1,20,What are the Cleveland Indians also called ?
0,7,What is a person 's socioeconomic position ?
4,13,How many yards are in 1 mile ?
3,4,Name the Four Horsemen of the Apocalypse .
3,5,What is a society ruled by elders ?
1,44,Name the ship Beany and Cecil sailed .
0,12,Where did the marriage ceremony come from ?
1,20,The Jewish alphabet is known as what ?
1,23,What is a fear of home surroundings ?
4,13,How many people die of tuberculosis yearly ?
0,0,How did water appear on the earth ?
3,4,What is the most popular last name ?
3,4,Who moderated the first Kennedy-Nixon TV debate ?
0,9,What is the S&P 500 used for ?
0,7,What is the English meaning of caliente ?
0,0,How can you become an FBI agent ?
4,13,How many sides does a heptagon have ?
5,14,Where were the 1936 Summer Olympics held ?
5,14,What cathedral was Thomas Becket murdered in ?
3,5,What store does Martha Stewart advertise for ?
5,14,Where in a tree does photosynthesis occur ?
1,17,What was the first ready-to-eat breakfast cereal ?
3,4,Which presidents of the USA were Masons ?
1,31,What are the five basic swimming strokes ?
4,13,How many blacks served in the Vietnam War
3,5,What is Pittsburgh 's baseball team called ?
0,7,What was the Long March in China ?
5,14,Where is the group M People from ?
5,18,What country is famous for Persian rugs ?
1,10,"What happened on January 15 , 1969 ?"
1,16,What Caribbean cult did Marcus Garvey originate ?
1,30,What is the most widely cultivated plant ?
3,5,What police force did Mack Sennett create ?
3,4,What is Dr. Ruth 's last name ?
4,8,When did French revolutionaries storm the Bastille ?
3,4,Who used AuH2O as an election slogan ?
4,13,How many cullions does a male have ?
3,4,Who played Lucas McCain on The Rifleman ?
3,4,Who is the prime minister of Australia ?
5,14,What does the River Seine empty into ?
5,11,What two states is Washington D.C. between ?
4,8,When did the art of quilting begin ?
4,25,How much did the Iran-Contra investigation cost ?
0,7,What does the double-O indicate in 007 ?
4,8,When did communist control end in Hungary ?
0,0,How do you make the color purple ?
1,29,What sport do the Cleaveland Cavaliers play ?
3,4,What English explorer discovered and named Virginia ?
5,18,What country is home to Heineken beer ?
